Source,Section,Title,Date,URL,Text
thehindu.com,cities,Kochi restaurant shut after food safety officials seize stale food,2023-01-03,https://www.thehindu.com/news/cities/Kochi/kochi-restaurant-shut-after-food-safety-officials-seize-stale-food/article66333976.ece,"A city hotel was closed down on Tuesday after officials of the Food Safety department seized stale food during a State-wide raid. The raids were held following the death of a nurse after she reportedly consumed ‘kuzhimanthi’ and ‘alfahm’ from a restaurant on the outskirts of Kottayam on Monday. The hotel at Pallimukku was told to down shutters after officials found stale food, including meat, during the surprise raid. Food Safety department officials refused to divulge other details of the inspections. They said information on the raids had been presented before the Commissionerate of Food Safety in Thiruvananthapuram. The raids"
thehindu.com,cities,Lack of sustained enforcement reveals gaps in action against violators of food safety norms in Ernakulam,2023-01-04,https://www.thehindu.com/news/cities/Kochi/lack-of-sustained-enforcement-reveals-gaps-in-action-against-violators-of-food-safety-norms-in-ernakulam/article66337411.ece,"The lack of sustained drive against eateries stocking stale food has diluted enforcement against violators of food safety norms in Ernakulam. The number of repeat offenders is on the rise, according to officials of health wings in various local bodies. “Except for serving notices and imposing penalty on a few occasions, we lacked the authority to either shut down or initiate prosecution measures against eatery managements found flouting norms,” they said. An official of the health wing of the Kalamassery municipality recalled that stale food was seized from five eateries in December during surprise inspections. Of them, one eatery was"
thehindu.com,cities,Tiruppur food safety officials inspect jaggery units ahead of Pongal,2023-01-05,https://www.thehindu.com/news/cities/Coimbatore/tiruppur-food-safety-officials-inspect-jaggery-units-ahead-of-pongal/article66341866.ece,"Ahead of the Pongal festival, officials from the Food Safety Department in Tiruppur district on Thursday conducted inspection at the jaggery units functioning near Madathukulam to check for adulteration. A team of Food Safety Officers led by B. Vijayalalithambigai, Designated Officer of the Tiruppur District Food Safety Department, conducted inspection at more than 12 units near Madathukulam and its surrounding villages. R. Balamurugan, Food Safety Officer, said the demand for jaggery would increase during this time as it forms an integral part of the Pongal festival. It would be hard for the public to differentiate between the pure and adulterated"
indiatimes.com,city,"Suspected adulteration: 2,500 kg of jaggery seized in Tirupur",2023-01-05,https://timesofindia.indiatimes.com/city/coimbatore/suspected-adulteration-2500-kg-of-jaggery-seized-in-tirupur/articleshow/96767943.cms,"COIMBATORE: Food safety officials in Tirupur district seized 2,500 kg of jaggery on the suspicion of adulteration .A team comprising food safety officials Sanjeevi, Balamurugan, Vijayakumar and Raguanthan led by district designated officer for food safety Dr B Vijayalalithambigai conducted a check as the jaggery making units in and around Madathukulam are functioning in full swing to prepare jaggery required for the upcoming Pongal festival.Manufacturers extract juice from sugarcane and heat it on a huge pan to produce jaggery. It is done mostly in agricultural fields. The team conducted inspections in 12 units in Maduthukulam . Out of them, only"
indiatimes.com,city,Food Safety Raids On 18 Water Plants,2023-01-05,https://timesofindia.indiatimes.com/city/hubballi/food-safety-raids-on-18-water-plants/articleshow/96752167.cms,KALABURAGI: Officers of food safety raided 18 water plants which have not been using the ISI mark on water cans and seized vehicles supplying water on Wednesday in Kalaburagi .Many water plants in Kalaburagi supply water cans to residences as well events but most have not got permission by the authority and also do not have ISI certificates.Plant owners who have permission as well as the ISI mark had complained to the Kalaburagi deputy commissioner about the plants which do not have quality control verification.Eighteen of these plants have been given notice.Many consumers also complained about the water quality and
indiatimes.com,city,"2,500kg jaggery seized in Tirupur",2023-01-06,https://timesofindia.indiatimes.com/city/trichy/2500kg-jaggery-seized-in-tirupur/articleshow/96781546.cms,"A team checked 7 units in and around Madathukulam on Wednesday TIRUPUR: Food safety officials seized 2,500kg of suspected adulterated jaggery from units in and around Madathukulam on Wednesday.A team led by district designated officer for food safety B Vijayalalithambigai checked seven units that were functioning in full swing to prepare jaggery required for the upcoming Pongal festival.At one unit, the officials found bleaching agents used to make golden yellow coloured jaggery, which has good demand in the market.They seized 4,700kg of white sugar from another unit that was used to adulterate jaggery.Samples were sent for laboratory analysis. Health-conscious consumers"
indiatimes.com,city,Food Safety Raid: 11 Hotels Closed Down,2023-01-06,https://timesofindia.indiatimes.com/city/kochi/food-safety-raid-11-hotels-closed-down/articleshow/96780244.cms,"Kochi: Food safety officials on Thursday inspected hotels at Thrikkakara, Kalamassery , Muvattupuzha , Angamaly and North Paravur areas in the wake of the death of a woman due to food poisoning in Kottayam. Eleven hotels which were found to be functioning without licence were closed down.As many as 73 hotels were covered in the raids that began on Wednesday night.Hotels which were found operating without licence are in rural areas. Fine was imposed on 11 firms. Samples of 38 food items collected from various hotels were sent for testing. Rectification notice was issued to 13 firms. Fine of Rs"
indiatimes.com,city,"2,500kg Of Jaggery Seized In Tirupur",2023-01-06,https://timesofindia.indiatimes.com/city/coimbatore/2500kg-of-jaggery-seized-in-tirupur/articleshow/96780103.cms,"Tirupur: Food safety officials seized 2,500kg of suspected adulterated jaggery from units in and around Madathukulam on Wednesday.A team led by district designated officer for food safety B Vijayalalithambigai checked seven units that were functioning in full swing to prepare jaggery required for the upcoming Pongal festival.At one unit, the officials found bleaching agents used to make golden yellow coloured jaggery, which has good demand in the market.They seized 4,700kg of white sugar from another unit that was used to adulterate jaggery. Samples were sent for laboratory analysis.Health-conscious consumers prefer jaggery over sugar, and jaggery adulterated with sugar serves no"
thehindu.com,cities,Food Safety officials seize gutka from house in Salem,2023-01-07,https://www.thehindu.com/news/cities/Coimbatore/food-safety-officials-seize-gutka-from-house-in-salem/article66349625.ece,"Food Safety Department officials seized gutka items from a house here on Friday. Acting on a tip-off, the officials led by District Designated Officer Kathiravan raided the house owned by K. Ravichandran of Velmurugan Nagar at Kitchiplayam. They found 101 kg of gutka and pan masala items. The officials seized the items and sent them for laboratory testing. Following regular inspections at shops by the department and the police, the gutka sellers now started storing gutka items in houses. During night, these were transported from the houses to the shops. As it was in small quantity, it did not raise"
thehindu.com,national,"Two deaths due to foodborne illness raise concern about the safety of food prepared, handled in outlets",2023-01-07,https://www.thehindu.com/news/national/kerala/two-deaths-due-to-foodborne-illness-raise-concern-about-the-safety-of-food-prepared-handled-in-outlets/article66350471.ece,"Two deaths due to foodborne illness in the State within a space of one week, both victims dying due to complications of food poisoning after consuming food ordered in from eateries, have raised public concern about the safety of food prepared and handled in food business outlets in the State. On Saturday, there were also reports of a three-member family being hospitalised in Idukki with symptoms of food poisoning, allegedly after consuming shawarma. Following the death of a nurse at Kottayam last week, the Food Safety department had launched an intensive drive across the State, inspecting eateries for hygiene and"
